id,name,type,country,age,value,category
Mbabu,Kevin Mbabu,3,Schweiz,26,90,mid
William,William,3,Brasilien,26,25,mid
Guilavogui,Josuha Guilavogui,3,Frankreich,30,35,old
Schlager,Xaver Schlager,3,Oesterreich,23,270,young
Arnold,Maximilian Arnold,3,Deutschland,27,170,mid
Vranckx,Aster Vranckx,3,Belgien,18,100,teen
Gerhardt,Yannick Gerhardt,3,Deutschland,27,60,mid
Walther,Gil-Linnart Walther,3,Deutschland,18,,teen
Paredes,Kevin Paredes,3,USA,18,50,teen
NmechaF,Felix Nmecha,3,Deutschland,20,20,young
Brekalo,Josip Brekalo,3,Kroatien,23,150,young
Marmoush,Omar Marmoush,3,Aegypten,22,60,young
Steffen,Renato Steffen,3,Schweiz,29,20,old
Waldschmidt,Luca Waldschmidt,3,Deutschland,25,70,mid
PhilippM,Maximilian Philipp,3,Deutschland,27,45,mid
Kruse,Max Kruse,3,Deutschland,33,35,rusty
Mehmedi,Admir Mehmedi,3,Schweiz,30,10,old
NmechaL,Lukas Nmecha,3,Deutschland,22,180,young
Weghorst,Wout Weghorst,3,Niederlande,28,140,old
Wind,Jonas Wind,3,Daenemark,22,140,young
Bialek,Bartosz Bialek,3,Polen,19,40,teen
Ginczek,Daniel Ginczek,3,Deutschland,30,9,old
BOC,VfL Bochum,2,,,,
Riemann,Manuel Riemann,3,Deutschland,32,12,rusty
Esser,Michael Esser,3,Deutschland,33,4,rusty
Ernst,Tjark Ernst,3,Deutschland,18,2,teen
Grave,Paul Grave,3,Deutschland,20,1,young
Bella-Kotchap,Armel Bella-Kotchap,3,Deutschland,19,100,teen
Leitsch,Maxim Leitsch,3,Deutschland,23,50,young
Masovic,Erhan Masovic,3,Serbien,22,25,young
Lampropoulos,Vasilios Lampropoulos,3,Griechenland,31,5,old
Decarli,Saulo Decarli,3,Schweiz,29,3,old
Soares,Danilo Soares,3,Brasilien,29,22,old
Stafylidis,Konstantinos Stafylidis,3,Griechenland,27,18,mid
Roemling,Moritz Roemling,3,Deutschland,20,2,young
Bockhorn,Herbert Bockhorn,3,Deutschland,26,8,mid
Gamboa,Cristian Gamboa,3,Costa Rica,31,7,old
Losilla,Anthony Losilla,3,Frankreich,35,5,rusty
Rexhbecaj,Elvis Rexhbecaj,3,Deutschland,23,40,young
Loewen,Eduard Loewen,3,Deutschland,24,20,mid
Osterhage,Patrick Osterhage,3,Deutschland,21,9,young
Tesche,Robert Tesche,3,Deutschland,34,4,rusty
Chibsah,Raman Chibsah,3,Ghana,28,3,old
Pantovic,Milos Pantovic,3,Serbien,24,22,mid
Weilandt,Tom Weilandt,3,Deutschland,29,3,old
Holtmann,Gerrit Holtmann,3,Philippinen,26,45,mid
Antwi-Adjei,Christopher Antwi-Adjei,3,Ghana,27,10,mid
Blum,Danny Blum,3,Deutschland,30,6,old
Asano,Takuma Asano,3,Japan,26,30,mid
Bonga,Tarsis Bonga,3,Deutschland,24,3,mid
Polter,Sebastian Polter,3,Deutschland,30,22,old
Locadia,Juergen Locadia,3,Niederlande,27,20,mid
Zoller,Simon Zoller,3,Deutschland,30,11,old
Ganvoula,Silvere Ganvoula,3,Kongo,25,6,mid
Novothny,Soma Novothny,3,Ungarn,27,4,mid
Hartwig,Luis Hartwig,3,Deutschland,18,2,teen
FCA,FC Augsburg,2,,,,
Gikiewicz,Rafal Gikiewicz,3,Polen,33,12,rusty
Koubek,Tomas Koubek,3,Tschechien,28,10,old
Klein,Daniel Klein,3,Deutschland,20,2,young
Oxford,Reece Oxford,3,England,22,120,young
Uduokhai,Felix Uduokhai,3,Deutschland,23,100,young
Gouweleeuw,Jeffrey Gouweleeuw,3,Niederlande,29,35,old
Winther,Frederik Winther,3,Daenemark,20,10,young
Iago,Iago,3,Brasilien,24,55,mid
Pedersen,Mads Pedersen,3,Daenemark,24,20,mid
Guenther,Lasse Guenther,3,Deutschland,18,10,teen
Gumny,Robert Gumny,3,Polen,23,25,young
Framberger,Raphael Framberger,3,Deutschland,25,15,mid
Dorsch,Niklas Dorsch,3,Deutschland,23,100,young
