from,to,relationship,rank,agency,category,worth
Ljubicic,HAGMAYR,1,17,HAGMAYR,mid,cheap
Ljubicic,FCK,2,17,FCK,mid,cheap
Oezcan,Hebel,1,17,Hebel,mid,cheap
Oezcan,FCK,2,17,FCK,mid,cheap
Hauptmann,T21,1,17,T21,mid,nothing
Hauptmann,FCK,2,17,FCK,mid,nothing
Olesen,PESM,1,17,PESM,young,nothing
Olesen,FCK,2,17,FCK,young,nothing
Duda,ICMStellar,1,17,ICMStellar,mid,low
Duda,FCK,2,17,FCK,mid,low
Schaub,YOUFIRST,1,17,YOUFIRST,mid,low
Schaub,FCK,2,17,FCK,mid,low
Ostrak,BMGS,1,17,BMGS,young,nothing
Ostrak,FCK,2,17,FCK,young,nothing
Kainz,YOUFIRST,1,17,YOUFIRST,old,low
Kainz,FCK,2,17,FCK,old,low
Obuz,Hebel,1,17,Hebel,young,nothing
Obuz,FCK,2,17,FCK,young,nothing
Thielmann,none,1,17,none,young,cheap
Thielmann,FCK,2,17,FCK,young,cheap
Schindler,11WINS,1,17,11WINS,old,nothing
Schindler,FCK,2,17,FCK,old,nothing
Uth,Sports360,1,17,Sports360,old,low
Uth,FCK,2,17,FCK,old,low
Modeste,Wasserman,1,17,Wasserman,rusty,low
Modeste,FCK,2,17,FCK,rusty,low
Andersson,PIS,1,17,PIS,old,low
Andersson,FCK,2,17,FCK,old,low
Lemperle,ROGON,1,17,ROGON,young,low
Lemperle,FCK,2,17,FCK,young,low
Zentner,WUK,1,18,WUK,mid,low
Zentner,FSV,2,18,FSV,mid,low
Dahmen,CN,1,18,CN,young,low
Dahmen,FSV,2,18,FSV,young,low
Rieß,ROOF,1,18,ROOF,teen,nothing
Rieß,FSV,2,18,FSV,teen,nothing
Niakhate,ICMStellar,1,18,ICMStellar,mid,cheap
Niakhate,FSV,2,18,FSV,mid,cheap
St Juste,none,1,18,none,mid,cheap
St Juste,FSV,2,18,FSV,mid,cheap
Bell,Haspel,1,18,Haspel,old,low
Bell,FSV,2,18,FSV,old,low
HackA,PROProfil,1,18,PROProfil,mid,low
HackA,FSV,2,18,FSV,mid,low
Nemeth,YOUFIRST,1,18,YOUFIRST,young,low
Nemeth,FSV,2,18,FSV,young,low
Martin,BYANDFOR,1,18,BYANDFOR,mid,low
Martin,FSV,2,18,FSV,mid,low
Lucoqui,FSB,1,18,FSB,young,low
Lucoqui,FSV,2,18,FSV,young,low
Widmer,CAA,1,18,CAA,old,low
Widmer,FSV,2,18,FSV,old,low
Brosinski,Hebel,1,18,Hebel,rusty,nothing
Brosinski,FSV,2,18,FSV,rusty,nothing
Stach,ROOF,1,18,ROOF,young,cheap
Stach,FSV,2,18,FSV,young,cheap
Tauer,PROProfil,1,18,PROProfil,young,low
Tauer,FSV,2,18,FSV,young,low
Fuerstner,Talcon,1,18,Talcon,rusty,nothing
